buffer_size_gb,command,config,cpu_node,duration,enable_numa,label,mem_node,memory_numa_node,num_readers,num_writers,numa_node,random_access,read_bandwidth_mbps,read_ratio,returncode,status,stderr,stdout,test_duration,threads,total_bandwidth_mbps,total_iops,used_numa_alloc,wall_clock_s,write_bandwidth_mbps
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.0 --json --random,local_dram,0,10,True,Local DRAM,0,0,0,4,0,True,0,0.0,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0,
  ""num_readers"": 0,
  ""num_writers"": 4,
  ""read_bandwidth_mbps"": 0,
  ""read_iops"": 0,
  ""write_bandwidth_mbps"": 2537.33,
  ""write_iops"": 649557,
  ""total_bandwidth_mbps"": 2537.33,
  ""total_iops"": 649557,
  ""total_read_bytes"": 0,
  ""total_write_bytes"": 26606043136,
  ""total_read_ops"": 0,
  ""total_write_ops"": 6495616,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2537.33,649557,True,38.241053342819214,2537.33
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.15 --json --random,local_dram,0,10,True,Local DRAM,0,0,0,4,0,True,0,0.15,0,success,,"{
  ""test_duration"": 10.0003,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.15,
  ""num_readers"": 0,
  ""num_writers"": 4,
  ""read_bandwidth_mbps"": 0,
  ""read_iops"": 0,
  ""write_bandwidth_mbps"": 2584.94,
  ""write_iops"": 661744,
  ""total_bandwidth_mbps"": 2584.94,
  ""total_iops"": 661744,
  ""total_read_bytes"": 0,
  ""total_write_bytes"": 27105886208,
  ""total_read_ops"": 0,
  ""total_write_ops"": 6617648,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0003,4,2584.94,661744,True,35.32258176803589,2584.94
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.25 --json --random,local_dram,0,10,True,Local DRAM,0,0,1,3,0,True,649.269,0.25,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.25,
  ""num_readers"": 1,
  ""num_writers"": 3,
  ""read_bandwidth_mbps"": 649.269,
  ""read_iops"": 166213,
  ""write_bandwidth_mbps"": 1956.88,
  ""write_iops"": 500962,
  ""total_bandwidth_mbps"": 2606.15,
  ""total_iops"": 667175,
  ""total_read_bytes"": 6808129536,
  ""total_write_bytes"": 20519571456,
  ""total_read_ops"": 1662141,
  ""total_write_ops"": 5009661,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2606.15,667175,True,35.06586003303528,1956.88
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.35 --json --random,local_dram,0,10,True,Local DRAM,0,0,1,3,0,True,649.15,0.35,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.35,
  ""num_readers"": 1,
  ""num_writers"": 3,
  ""read_bandwidth_mbps"": 649.15,
  ""read_iops"": 166182,
  ""write_bandwidth_mbps"": 1952.89,
  ""write_iops"": 499940,
  ""total_bandwidth_mbps"": 2602.04,
  ""total_iops"": 666122,
  ""total_read_bytes"": 6806888448,
  ""total_write_bytes"": 20477706240,
  ""total_read_ops"": 1661838,
  ""total_write_ops"": 4999440,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2602.04,666122,True,35.034440755844116,1952.89
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.45 --json --random,local_dram,0,10,True,Local DRAM,0,0,1,3,0,True,653.044,0.45,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.45,
  ""num_readers"": 1,
  ""num_writers"": 3,
  ""read_bandwidth_mbps"": 653.044,
  ""read_iops"": 167179,
  ""write_bandwidth_mbps"": 1963.63,
  ""write_iops"": 502689,
  ""total_bandwidth_mbps"": 2616.67,
  ""total_iops"": 669868,
  ""total_read_bytes"": 6847713280,
  ""total_write_bytes"": 20590292992,
  ""total_read_ops"": 1671805,
  ""total_write_ops"": 5026927,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2616.67,669868,True,35.85954284667969,1963.63
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.5 --json --random,local_dram,0,10,True,Local DRAM,0,0,2,2,0,True,1325.99,0.5,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.5,
  ""num_readers"": 2,
  ""num_writers"": 2,
  ""read_bandwidth_mbps"": 1325.99,
  ""read_iops"": 339452,
  ""write_bandwidth_mbps"": 1335.58,
  ""write_iops"": 341909,
  ""total_bandwidth_mbps"": 2661.57,
  ""total_iops"": 681361,
  ""total_read_bytes"": 13904072704,
  ""total_write_bytes"": 14004695040,
  ""total_read_ops"": 3394549,
  ""total_write_ops"": 3419115,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2661.57,681361,True,35.1308114528656,1335.58
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.55 --json --random,local_dram,0,10,True,Local DRAM,0,0,2,2,0,True,1320.51,0.55,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.55,
  ""num_readers"": 2,
  ""num_writers"": 2,
  ""read_bandwidth_mbps"": 1320.51,
  ""read_iops"": 338052,
  ""write_bandwidth_mbps"": 1327.08,
  ""write_iops"": 339733,
  ""total_bandwidth_mbps"": 2647.6,
  ""total_iops"": 677785,
  ""total_read_bytes"": 13846716416,
  ""total_write_bytes"": 13915582464,
  ""total_read_ops"": 3380546,
  ""total_write_ops"": 3397359,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2647.6,677785,True,35.119149923324585,1327.08
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.65 --json --random,local_dram,0,10,True,Local DRAM,0,0,2,2,0,True,1307.96,0.65,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.65,
  ""num_readers"": 2,
  ""num_writers"": 2,
  ""read_bandwidth_mbps"": 1307.96,
  ""read_iops"": 334837,
  ""write_bandwidth_mbps"": 1311.83,
  ""write_iops"": 335828,
  ""total_bandwidth_mbps"": 2619.79,
  ""total_iops"": 670666,
  ""total_read_bytes"": 13715042304,
  ""total_write_bytes"": 13755641856,
  ""total_read_ops"": 3348399,
  ""total_write_ops"": 3358311,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2619.79,670666,True,34.89107346534729,1311.83
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.75 --json --random,local_dram,0,10,True,Local DRAM,0,0,3,1,0,True,1984.22,0.75,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.75,
  ""num_readers"": 3,
  ""num_writers"": 1,
  ""read_bandwidth_mbps"": 1984.22,
  ""read_iops"": 507960,
  ""write_bandwidth_mbps"": 662.501,
  ""write_iops"": 169600,
  ""total_bandwidth_mbps"": 2646.72,
  ""total_iops"": 677560,
  ""total_read_bytes"": 20806197248,
  ""total_write_bytes"": 6946885632,
  ""total_read_ops"": 5079638,
  ""total_write_ops"": 1696017,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2646.72,677560,True,35.86852526664734,662.501
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.85 --json --random,local_dram,0,10,True,Local DRAM,0,0,3,1,0,True,1989.35,0.85,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.85,
  ""num_readers"": 3,
  ""num_writers"": 1,
  ""read_bandwidth_mbps"": 1989.35,
  ""read_iops"": 509274,
  ""write_bandwidth_mbps"": 668.619,
  ""write_iops"": 171167,
  ""total_bandwidth_mbps"": 2657.97,
  ""total_iops"": 680441,
  ""total_read_bytes"": 20860035072,
  ""total_write_bytes"": 7011037184,
  ""total_read_ops"": 5092782,
  ""total_write_ops"": 1711679,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2657.97,680441,True,35.61016082763672,668.619
