access_pattern,block_size,buffer_size,buffer_size_gb_requested,command,cpu_node,device_path,duration_requested,enable_numa,interleave_nodes,is_cxl_mem,memory_numa_node,mode,mode_label,num_readers,num_threads,num_writers,numa_node,random_access,read_bandwidth_mbps,read_iops,read_ratio,read_ratio_requested,returncode,status,test_duration,threads_requested,total_bandwidth_mbps,total_iops,total_read_bytes,total_read_ops,total_write_bytes,total_write_ops,use_mmap,used_numa_alloc,wall_clock_s,write_bandwidth_mbps,write_iops
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.0 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,0,4,4,0,True,0,0,0,0.0,0,success,10.0001,4,15252.7,3904690.0,0,0,159937523712,39047247,False,False,16.02327036857605,15252.7,3904690.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.15 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,0,4,4,0,True,0,0,0.15,0.15,0,success,10.0001,4,15273.4,3909990.0,0,0,160154525696,39100226,False,False,15.7130126953125,15273.4,3909990.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.25 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,1,4,3,0,True,4173.34,1068370.0,0.25,0.25,0,success,10.0001,4,17299.7,4428730.0,43760975872,10683832,137641435136,33603866,False,False,15.907231330871582,13126.4,3360360.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.35 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,1,4,3,0,True,4299.58,1100690.0,0.35,0.35,0,success,10.0001,4,17417.9,4458990.0,45084766208,11007023,137556930560,33583235,False,False,15.76187515258789,13118.3,3358290.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.45 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,1,4,3,0,True,4156.04,1063950.0,0.45,0.45,0,success,10.0001,4,17382,4449790.0,43579826176,10639606,138686013440,33858890,False,False,15.74845290184021,13226,3385840.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.5 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,2,4,2,0,True,9710.84,2485970.0,0.5,0.5,0,success,10.0001,4,19964.5,5110920.0,101826199552,24859912,107518328832,26249592,False,False,15.92745327949524,10253.7,2624940.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.55 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,2,4,2,0,True,9775.05,2502410.0,0.55,0.55,0,success,10.0001,4,20021.9,5125610.0,102499708928,25024343,107447222272,26232232,False,False,16.00321650505066,10246.9,2623200.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.65 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,2,4,2,0,True,10218.7,2615990.0,0.65,0.65,0,success,10.0001,4,20234.5,5180020.0,107151769600,26160100,105023918080,25640605,False,False,15.73438572883606,10015.8,2564040.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.75 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,3,4,1,0,True,17320.9,4434140.0,0.75,0.75,0,success,10.0001,4,23530.2,6023740.0,181624311808,44341873,65110462464,15896109,False,False,15.784858703613281,6209.35,1589590.0
random,4096,17179869184,16.0,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 17179869184 --threads 4 --duration 10 --read-ratio 0.85 --json --no-numa --random,0,,10,False,0,False,-1,numactl_local,numactl interleave local DRAM,3,4,1,0,True,17407.2,4456240.0,0.85,0.85,0,success,10.0001,4,23674.8,6060750.0,182528987136,44562741,65721520128,16045293,False,False,15.837940216064453,6267.64,1604520.0
