scheduler,test_number,test_case,total_ops_per_sec,total_p50_latency_ms,total_p99_latency_ms,gets_ops_per_sec,gets_p50_latency_ms,gets_p99_latency_ms,sets_ops_per_sec,sets_p50_latency_ms,sets_p99_latency_ms,avg_latency_ms,bandwidth_kb_sec
default,1,mixed_1_10,0,0,0,674098.56,0.431,0.791,67484.01,0.431,0.799,0,0
default,2,mixed_10_1,0,0,0,66494.17,0.535,0.871,665014.83,0.535,0.871,0,0
default,3,pipeline_16,0,0,0,478757.39,3.743,4.159,478757.39,3.743,4.159,0,0
default,4,sequential_pattern,0,0,0,243889.05,0.655,0.967,243889.05,0.655,0.959,0,0
default,5,gaussian_pattern,0,0,0,246468.11,0.647,0.935,246468.11,0.647,0.935,0,0
default,6,advanced_gaussian_random,0,0,0,353845.93,0.655,0.983,353845.93,0.647,0.975,0,0
scx_nest_slug,1,mixed_1_10,0,0,0,686179.66,0.423,0.567,68693.45,0.431,0.583,0,0
scx_nest_slug,2,mixed_10_1,0,0,0,72867.32,0.519,0.703,728753.36,0.495,0.679,0,0
scx_nest_slug,3,pipeline_16,0,0,0,1100387.68,3.967,4.383,1100387.68,3.967,4.383,0,0
scx_nest_slug,4,sequential_pattern,0,0,0,249268.59,0.639,0.823,249268.59,0.639,0.807,0,0
scx_nest_slug,5,gaussian_pattern,0,0,0,250311.87,0.639,0.807,250311.87,0.639,0.807,0,0
scx_nest_slug,6,advanced_gaussian_random,0,0,0,260898.21,0.623,0.823,260898.21,0.599,0.783,0,0
