trace,scheduler,rep,query,transactions,seconds,tps,avg_micros,read_ops_per_tx,write_ops_per_tx,errors,wall_seconds
new_order,default,1,new_order,1000000,2.71323,368564.0,2.71323,13.0,12.0,0,2.911168336868286
new_order,scx_nest,1,new_order,1000000,3.62879,275574.0,3.62879,13.0,12.0,0,3.9446957111358643
new_order,scx_nest_slug_read,1,new_order,1000000,2.89436,345500.0,2.89436,13.0,12.0,0,3.20119571685791
new_order,scx_nest_slug_write,1,new_order,1000000,2.89416,345524.0,2.89416,13.0,12.0,0,3.16397762298584
new_order,scx_nest_slug,1,new_order,1000000,2.90024,344799.0,2.90024,13.0,12.0,0,3.1870641708374023
payment,default,1,payment,1000000,1.01039,989714.0,1.01039,3.0,3.0,0,1.1352837085723877
payment,scx_nest,1,payment,1000000,1.83677,544435.0,1.83677,3.0,3.0,0,2.032106637954712
payment,scx_nest_slug_read,1,payment,1000000,1.1012,908098.0,1.1012,3.0,3.0,0,1.2663929462432861
payment,scx_nest_slug_write,1,payment,1000000,1.07857,927152.0,1.07857,3.0,3.0,0,1.2724392414093018
payment,scx_nest_slug,1,payment,1000000,1.06929,935198.0,1.06929,3.0,3.0,0,1.261528491973877
order_status,default,1,order_status,1000000,0.162996,6135130.0,0.162996,7.0,0.0,0,0.2174055576324463
order_status,scx_nest,1,order_status,1000000,0.145112,6891240.0,0.145112,7.0,0.0,0,0.2631962299346924
order_status,scx_nest_slug_read,1,order_status,1000000,0.18349,5449880.0,0.18349,7.0,0.0,0,0.26751089096069336
order_status,scx_nest_slug_write,1,order_status,1000000,0.132622,7540230.0,0.132622,7.0,0.0,0,0.2183387279510498
order_status,scx_nest_slug,1,order_status,1000000,0.166139,6019050.0,0.166139,7.0,0.0,0,0.2864823341369629
delivery,default,1,delivery,1000000,1.19074,839814.0,1.19074,3.0,3.0,0,1.4960882663726807
delivery,scx_nest,1,delivery,1000000,1.75077,571179.0,1.75077,3.0,3.0,0,2.0841777324676514
delivery,scx_nest_slug_read,1,delivery,1000000,1.33754,747641.0,1.33754,3.0,3.0,0,1.7013564109802246
delivery,scx_nest_slug_write,1,delivery,1000000,1.31363,761247.0,1.31363,3.0,3.0,0,1.6443872451782227
delivery,scx_nest_slug,1,delivery,1000000,1.26912,787949.0,1.26912,3.0,3.0,0,1.601231575012207
stock_level,default,1,stock_level,1000000,0.649673,1539240.0,0.649673,33.0,0.0,0,0.6983051300048828
stock_level,scx_nest,1,stock_level,1000000,0.643361,1554340.0,0.643361,33.0,0.0,0,0.7542614936828613
stock_level,scx_nest_slug_read,1,stock_level,1000000,0.773098,1293500.0,0.773098,33.0,0.0,0,0.8849103450775146
stock_level,scx_nest_slug_write,1,stock_level,1000000,0.733093,1364080.0,0.733093,33.0,0.0,0,0.8452107906341553
stock_level,scx_nest_slug,1,stock_level,1000000,0.688791,1451820.0,0.688791,33.0,0.0,0,0.7999241352081299
new_order,default,2,new_order,1000000,2.68328,372678.0,2.68328,13.0,12.0,0,2.8842051029205322
new_order,scx_nest,2,new_order,1000000,3.31159,301969.0,3.31159,13.0,12.0,0,3.6148428916931152
new_order,scx_nest_slug_read,2,new_order,1000000,2.88704,346376.0,2.88704,13.0,12.0,0,3.194777250289917
new_order,scx_nest_slug_write,2,new_order,1000000,2.8841,346728.0,2.8841,13.0,12.0,0,3.170440196990967
new_order,scx_nest_slug,2,new_order,1000000,2.92882,341435.0,2.92882,13.0,12.0,0,3.2377519607543945
payment,default,2,payment,1000000,1.01975,980631.0,1.01975,3.0,3.0,0,1.1449849605560303
payment,scx_nest,2,payment,1000000,1.41576,706333.0,1.41576,3.0,3.0,0,1.5694868564605713
payment,scx_nest_slug_read,2,payment,1000000,1.07544,929853.0,1.07544,3.0,3.0,0,1.2349281311035156
payment,scx_nest_slug_write,2,payment,1000000,1.1436,874433.0,1.1436,3.0,3.0,0,1.3094749450683594
payment,scx_nest_slug,2,payment,1000000,1.11619,895902.0,1.11619,3.0,3.0,0,1.2995331287384033
order_status,default,2,order_status,1000000,0.130559,7659400.0,0.130559,7.0,0.0,0,0.18752050399780273
order_status,scx_nest,2,order_status,1000000,0.137748,7259640.0,0.137748,7.0,0.0,0,0.2549600601196289
order_status,scx_nest_slug_read,2,order_status,1000000,0.165394,6046150.0,0.165394,7.0,0.0,0,0.2792551517486572
order_status,scx_nest_slug_write,2,order_status,1000000,0.268607,3722910.0,0.268607,7.0,0.0,0,0.35385584831237793
order_status,scx_nest_slug,2,order_status,1000000,0.132928,7522900.0,0.132928,7.0,0.0,0,0.24743294715881348
delivery,default,2,delivery,1000000,1.19066,839870.0,1.19066,3.0,3.0,0,1.4885201454162598
delivery,scx_nest,2,delivery,1000000,1.7331,577000.0,1.7331,3.0,3.0,0,2.098625898361206
delivery,scx_nest_slug_read,2,delivery,1000000,1.33504,749043.0,1.33504,3.0,3.0,0,1.7027897834777832
delivery,scx_nest_slug_write,2,delivery,1000000,1.27888,781935.0,1.27888,3.0,3.0,0,1.6212162971496582
delivery,scx_nest_slug,2,delivery,1000000,1.26805,788612.0,1.26805,3.0,3.0,0,1.5992395877838135
stock_level,default,2,stock_level,1000000,0.776543,1287760.0,0.776543,33.0,0.0,0,0.8263251781463623
stock_level,scx_nest,2,stock_level,1000000,0.763458,1309830.0,0.763458,33.0,0.0,0,0.8769257068634033
stock_level,scx_nest_slug_read,2,stock_level,1000000,0.682137,1465980.0,0.682137,33.0,0.0,0,0.7929873466491699
stock_level,scx_nest_slug_write,2,stock_level,1000000,0.700235,1428090.0,0.700235,33.0,0.0,0,0.8142011165618896
stock_level,scx_nest_slug,2,stock_level,1000000,0.667212,1498770.0,0.667212,33.0,0.0,0,0.7448081970214844
new_order,default,3,new_order,1000000,2.74245,364637.0,2.74245,13.0,12.0,0,2.9407949447631836
new_order,scx_nest,3,new_order,1000000,3.46911,288258.0,3.46911,13.0,12.0,0,3.7947030067443848
new_order,scx_nest_slug_read,3,new_order,1000000,2.83455,352789.0,2.83455,13.0,12.0,0,3.1166865825653076
new_order,scx_nest_slug_write,3,new_order,1000000,2.92919,341391.0,2.92919,13.0,12.0,0,3.219114065170288
new_order,scx_nest_slug,3,new_order,1000000,2.93364,340873.0,2.93364,13.0,12.0,0,3.230938673019409
payment,default,3,payment,1000000,1.03117,969771.0,1.03117,3.0,3.0,0,1.1617586612701416
payment,scx_nest,3,payment,1000000,1.43518,696777.0,1.43518,3.0,3.0,0,1.6287751197814941
payment,scx_nest_slug_read,3,payment,1000000,1.07377,931300.0,1.07377,3.0,3.0,0,1.2640302181243896
payment,scx_nest_slug_write,3,payment,1000000,1.116,896057.0,1.116,3.0,3.0,0,1.3157474994659424
payment,scx_nest_slug,3,payment,1000000,1.07906,926729.0,1.07906,3.0,3.0,0,1.2707324028015137
order_status,default,3,order_status,1000000,0.196273,5094950.0,0.196273,7.0,0.0,0,0.25172877311706543
order_status,scx_nest,3,order_status,1000000,0.157458,6350900.0,0.157458,7.0,0.0,0,0.2737314701080322
order_status,scx_nest_slug_read,3,order_status,1000000,0.142047,7039920.0,0.142047,7.0,0.0,0,0.22282695770263672
order_status,scx_nest_slug_write,3,order_status,1000000,0.163979,6098330.0,0.163979,7.0,0.0,0,0.2812819480895996
order_status,scx_nest_slug,3,order_status,1000000,0.204986,4878390.0,0.204986,7.0,0.0,0,0.31830692291259766
