trace,scheduler,n,read_ops_per_tx,write_ops_per_tx,median_tps,median_avg_micros,stdev_tps,tps_speedup_vs_default,tps_delta_pct_vs_default,latency_delta_pct_vs_default
new_order,default,3,13.0,12.0,368564.0,2.71323,4020.8623867689544,1.0,0.0,0.0
new_order,scx_nest,3,13.0,12.0,288258.0,3.46911,13200.829532015528,0.7821111123169925,-21.78888876830075,27.859046229033304
new_order,scx_nest_slug_read,3,13.0,12.0,346376.0,2.88704,3979.6035397176606,0.9397987866422114,-6.02012133577886,6.406017919601359
new_order,scx_nest_slug_write,3,13.0,12.0,345524.0,2.89416,2799.2521024969033,0.9374871121433456,-6.251288785665443,6.668435775809645
new_order,scx_nest_slug,3,13.0,12.0,341435.0,2.92882,2123.119403142461,0.9263927024885773,-7.360729751142269,7.945880002801098
payment,default,3,3.0,3.0,980631.0,1.01975,9984.686090876034,1.0,0.0,0.0
payment,scx_nest,3,3.0,3.0,696777.0,1.43518,90839.01924466893,0.7105394383820214,-28.946056161797863,40.738416278499635
payment,scx_nest_slug_read,3,3.0,3.0,929853.0,1.07544,12998.119338324808,0.9482190548738516,-5.178094512614839,5.461142436871791
payment,scx_nest_slug_write,3,3.0,3.0,896057.0,1.116,26500.909927774177,0.9137555308775676,-8.624446912243243,9.438587889188543
payment,scx_nest_slug,3,3.0,3.0,926729.0,1.07906,20680.92319828429,0.9450333509750355,-5.496664902496451,5.816131404756075
order_status,default,3,7.0,0.0,6135130.0,0.162996,1289817.6400690654,1.0,0.0,0.0
order_status,scx_nest,3,7.0,0.0,6891240.0,0.145112,457072.9816269316,1.1232427022736275,12.324270227362755,-10.972048393825617
order_status,scx_nest_slug_read,3,7.0,0.0,6046150.0,0.165394,803258.3568815204,0.9854966398430025,-1.4503360156997491,1.471201747282147
order_status,scx_nest_slug_write,3,7.0,0.0,6098330.0,0.163979,1927590.3683442012,0.9940017570939818,-0.5998242906018247,0.6030822842278516
order_status,scx_nest_slug,3,7.0,0.0,6019050.0,0.166139,1326405.1164833969,0.9810794555290597,-1.892054447094027,1.928268178360204
delivery,default,3,3.0,3.0,839814.0,1.19074,50.11985634456667,1.0,0.0,0.0
delivery,scx_nest,3,3.0,3.0,571179.0,1.75077,15245.037564182428,0.6801255992398316,-31.98744007601684,47.03209768715253
delivery,scx_nest_slug_read,3,3.0,3.0,749043.0,1.33504,4925.857894824007,0.8919153526852375,-10.808464731476253,12.118514537178559
delivery,scx_nest_slug_write,3,3.0,3.0,776028.0,1.28861,10656.48436399172,0.9240474676535518,-7.595253234644817,8.219258612291537
delivery,scx_nest_slug,3,3.0,3.0,788612.0,1.26805,1475.0465529376804,0.9390317379800766,-6.096826201992345,6.492601239565321
stock_level,default,3,33.0,0.0,1429940.0,0.699328,126097.73511050863,1.0,0.0,0.0
stock_level,scx_nest,3,33.0,0.0,1338290.0,0.747223,133711.57653696256,0.9359064016672028,-6.409359833279716,6.848717626063872
stock_level,scx_nest_slug_read,3,33.0,0.0,1293500.0,0.773098,265086.23021952686,0.9045834090940879,-9.541659090591214,10.548698178823091
stock_level,scx_nest_slug_write,3,33.0,0.0,1385630.0,0.721692,32569.244694957237,0.9690126858469587,-3.0987314153041345,3.1979271529239517
stock_level,scx_nest_slug,3,33.0,0.0,1498770.0,0.667212,68898.34274736464,1.0481348867784663,4.8134886778466335,-4.59240871236386
